Sentence,Sentiment,entities
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,"[('GeoSolutions', 'ORG'), ('Benefon', 'PERSON'), ('Location Based Search Technology', 'ORG')]"
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,"[('ESI', 'ORG'), ('1.50', 'MONEY'), ('2.50', 'MONEY'), ('BK', 'ORG')]"
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,"[('the last quarter of 2010', 'DATE'), ('Componenta', 'GPE'), ('EUR131', 'PERSON'), ('the same period a year earlier', 'DATE'), ('zero', 'CARDINAL')]"
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,"[('Finnish', 'NORP'), ('Finland', 'GPE'), ('Russia', 'GPE')]"
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,"[('Swedish', 'NORP'), ('22.4 percent', 'PERCENT'), ('almost eighteen months', 'DATE'), ('Finland', 'GPE')]"
$SPY wouldn't be surprised to see a green close,positive,"[('SPY', 'ORG')]"
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,"[('Shell', 'ORG'), ('$70 Billion', 'MONEY')]"
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,"[('SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE', 'ORG'), ('OCTOBER 14 , 2008', 'DATE'), ('2:45 PM', 'TIME'), ('full year', 'DATE'), ('the full year', 'DATE')]"
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,"[('Kone', 'ORG'), ('some 14 %', 'PERCENT'), ('the first nine months of 2008', 'DATE')]"
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,"[('Stockmann', 'ORG'), ('over 8,000 square metres', 'QUANTITY'), ('Stockmann', 'ORG'), ('about EUR 12 million', 'QUANTITY')]"
